"Wave","Organisation","Adjusted_R2","R2","N","Predictors_Used","Group"
5,"CChurches",0.01936131727099,0.0461060086181448,221,6,"Netherlands"
5,"CArmedForces",0.0180789274346703,0.0439189556600736,229,6,"Netherlands"
5,"CPolice",0.0570965283700414,0.0811706595605936,236,6,"Netherlands"
5,"CParliament",0.108544565175136,0.132211523621814,227,6,"Netherlands"
5,"CTelevision",0.0269405089403557,0.0517845810525169,236,6,"Netherlands"
5,"CWomensMvt",0.00618847059517724,0.0370841658098349,194,6,"Netherlands"
5,"CCourts",0.0971034689519102,0.120555326901211,232,6,"Netherlands"
5,"CEU",0.0599642204305708,0.085031841219089,226,6,"Netherlands"
6,"CChurches",0.052775291997518,0.0668429856807231,405,6,"Netherlands"
6,"CArmedForces",0.0308142148898514,0.0455360242839296,396,6,"Netherlands"
6,"CPolice",0.0642130943359459,0.0774553618689278,425,6,"Netherlands"
6,"CParliament",0.16116186365223,0.17349771859852,409,6,"Netherlands"
6,"CTelevision",0.0332270952513209,0.0471374967584962,418,6,"Netherlands"
6,"CWomensMvt",0.0344289379588829,0.050214840880536,368,6,"Netherlands"
6,"CCourts",0.0958995008862075,0.108784543628922,422,6,"Netherlands"
6,"CEU",0.125045510218508,0.138137098594291,402,6,"Netherlands"
7,"CChurches",0.107985882720511,0.12113596798753,408,6,"Netherlands"
7,"CArmedForces",0.0798210947039988,0.0933200517499059,410,6,"Netherlands"
7,"CPolice",0.114160848335291,0.126323399616729,438,6,"Netherlands"
7,"CParliament",0.19405709381391,0.205543215992334,422,6,"Netherlands"
7,"CTelevision",0.0932133363075308,0.105807595525482,433,6,"Netherlands"
7,"CWomensMvt",0.105044951070844,0.119960868552996,361,6,"Netherlands"
7,"CCourts",0.180207497541477,0.191514980334008,436,6,"Netherlands"
7,"CEU",0.142563485991564,0.154754526475096,423,6,"Netherlands"
